TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,Income,Expenditure,GiftsTransaction,TransactionDate,TransactionTime,TransactionAmount,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,EmailDomain,Terrorism,UserTenure,IsFraud,ExpenditureCurrency,GiftsCurrency,TransactionDatetime,TransactionCurrency
8765,70,37,Female,Professional,Bachelor,Widowed,3,28884.43,14610.61,1050.01,2023-03-12,12:25:57,258.14,M006,Withdrawal,Adelaide,Mobile,-31.840233,145.612793,jon44@disposable.com,False,113,1,AUD,GBP,2023-03-12 12:25:57,AUD
9645,3386,34,Male,Student,High School,Married,4,54919.07,39169.49,4969.71,2023-03-05,18:27:24,34.94,M002,Withdrawal,Canberra,Mobile,-37.0201,144.9646,emilyreese@gmail.com,False,104,1,AUD,GBP,2023-03-05 18:27:24,AUD
1145,2971,25,Male,Unemployed,Master,Married,2,74728.57,55873.76,1149.85,2023-11-10,17:16:56,323.82,M008,Purchase,Brisbane,Mobile,-31.840233,145.612793,fordevan@gmail.com,False,105,0,AUD,GBP,2023-11-10 17:16:56,AUD
15308,2925,25,Male,Professional,High School,Married,3,55712.62,89649.04,4335.7,2023-10-07,00:34:17,32.49,M001,Purchase,Darwin,Mobile,-37.0201,144.9646,kathleenlewis@tempmail.com,False,70,1,AED,AUD,2023-10-07 00:34:17,AED
14967,2339,38,Male,Professional,High School,Single,4,53004.7,43601.02,4763.48,2023-09-22,18:40:08,1140.75,M001,Withdrawal,Melbourne,Tablet,-37.0201,144.9646,kristinawhite@gmail.com,False,27,0,AED,AUD,2023-09-22 18:40:08,AED
15336,234,32,Female,Student,Bachelor,Single,1,101381.56,81036.3,196.29,2023-06-30,03:59:57,67.39,M003,Withdrawal,Melbourne,Tablet,-37.0201,144.9646,marcpadilla@gmail.com,False,35,1,AED,AUD,2023-06-30 03:59:57,AED
17281,1617,18,Male,Professional,High School,Single,1,63035.98,91610.14,3009.44,2023-11-21,15:00:38,899.6,M007,Purchase,Sydney,Tablet,-31.840233,145.612793,lindsay08@outlook.com,False,53,0,AED,AUD,2023-11-21 15:00:38,AED
4829,877,39,Male,Professional,High School,Single,4,61284.85,36604.93,1214.27,2023-12-15,19:28:28,19.41,M007,Payment,Hobart,Desktop,-37.0201,144.9646,hperez@gmail.com,False,19,0,AUD,GBP,2023-12-15 19:28:28,AUD
12301,4394,39,Male,Student,Bachelor,Single,2,28419.25,11172.93,600.92,2023-02-28,01:51:57,111.73,M008,Withdrawal,Sydney,Mobile,-37.0201,144.9646,ernestdavis@gmail.com,True,28,1,AUD,GBP,2023-02-28 01:51:57,AUD
9933,103,21,Male,Student,High School,Single,3,57384.51,40721.71,10819.52,2023-09-10,10:57:08,110.54,M005,Transfer,Canberra,Mobile,-30.000233,136.209152,amy88@gmail.com,False,99,0,AUD,GBP,2023-09-10 10:57:08,AUD
